Year,Total IPC,Crime rate(IPC per 100k)
1981,1385757,200.8
1982,1353904,192
1983,1349866,187.4
1984,1358660,184.7
1985,1384731,184.4
1986,1405835,183.5
1987,1406992,180.1
1988,1440356,180.8
1989,1529844,188.5
1990,1604449,194
1991,1678375,197.5
1992,1689341,194.7
1993,1629936,184.4
1994,1635251,181.7
1995,1695696,185.1
1996,1709576,183.4
1997,1719820,180
1998,1778815,183.2
1999,1764629,178.9
2000,1771084,176.7
2001,1769308,172.3
2002,1780330,169.5
2003,1716120,160.7
2004,1832015,168.8
2005,1822602,165.3
2006,1878293,167.7
2007,1989673,175.1
2008,2093379,181.5
2009,2121345,181.4
2010,2224831,187.6
2011,2325575,192.2
2012,2387188,196.7
2013,2647722,215.5
2014,2851563,229.2
2015,2949400,234.2
2016,2975711,233.6
2017,3062579,237.7
2018,3132955,236.7
2019,3225597,241.2
2020,4254356,314.3
2021,3663360,268
