SL,State/UT,2019,2020,2021
1,Andhra Pradesh,123,91,95
2,Arunachal Pradesh,13,21,12
3,Assam,18,16,16
4,Bihar,71,41,81
5,Chhattisgarh,19,28,26
6,Goa,9,5,3
7,Gujarat,255,199,173
8,Haryana,89,57,79
9,Himachal Pradesh,62,48,42
10,Jharkhand,77,63,56
11,Karnataka,379,296,360
12,Kerala,80,104,122
13,Madhya Pradesh,318,151,250
14,Maharashtra,891,664,773
15,Manipur,6,9,7
16,Meghalaya,5,8,0
17,Mizoram,2,0,4
18,Nagaland,1,4,1
19,Odisha,353,245,265
20,Punjab,169,143,162
21,Rajasthan,424,363,501
22,Sikkim,0,0,4
23,Tamil Nadu,418,304,423
24,Telangana,177,84,83
25,Tripura,6,0,0
26,Uttar Pradesh,134,62,67
27,Uttarakhand,13,14,10
28,West Bengal,21,11,8
29,TOTAL STATE ( S ),4133,3031,3623
30,A & N Islands,3,N5 2,6
31,Chandigarh,5,5,4
32,D & N Haveli and Daman & Diu,1,0,2
33,Delhi,18,12,12
34,Jammu & Kashmir,73,71,94
35,Ladakh,-,0,0
36,Lakshadweep,0,0,3
37,Puducherry,1,2,1
38,TOTAL UT ( S ),101,92,122
39,TOTAL ALL INDIA,4234,3123,3745
