SL,State / UT,2019,2020,2021,,,
1,Andhra Pradesh,188,195,420,,,
2,Arunachal Pradesh,4,2,2,,,
3,Assam,122,,108,,,
4,Bihar,87,73,56,,,
5,Chhattisgarh,196,85,51,,,
6,Goa,4,1,2,,,
7,Gujarat,99,57,46,,,
8,Haryana,52,57,35,,,
9,Himachal Pradesh,188,198,163,,,
10,Jharkhand,80,178,272,,,
11,Karnataka,549,413,324,,,
12,Kerala,5054,1795,2659,,,
13,Madhya Pradesh,235,114,59,,,
14,Maharashtra,1004,753,,,,
15,Manipur,11,3,1,,,
16,Meghalaya,77,112,7,,,
17,Mizoram,2,0,3,,,
18,Nagaland,0,3,0,,,
19,Odisha,0,2,2,,,
20,Punjab,29,72,50,,,
21,Rajasthan,10782,9543,9387,,,
22,Sikkim,0,1,1,,,
23,Tamil Nadu,13316,42756,46458,,,
24,Telangana,423,745,518,,,
25,Tripura,2,3,3,,,
26,Uttar Pradesh,1882,2981,1573,,,
27,Uttarakhand,96,1271,912,,,
28,West Bengal,69,89,88,,,
