SL,Crime Head,2019,2020,2021
1,Murder,5,4,9
2,Culpable Homicide not amounting to Murder,0,0,0
3,Attempt to Commit Murder/Culpable Homicide,2,1,3
4,Simple Hurt,5,3,8
5,Grievous Hurt,0,1,1
,Assault on Women with Intent to Outrage her Modesty,7,8,15
,Kidnapping and Abduction,0,3,0
7,Human Trafficking,2,6,3
8,Rape,5,9,8
9,Theft,19,4,14
10,Extortion,0,0,23
11,Robbery,5,2,0
12,Dacoity,1,1,7
13,Cheating,3,11,2
14,Forgery,0,0,14
15,Insult to the Modesty of Women,0,0,0
,Immoral Traffic (Prevention) Act,3,10,121
