States,2019,2020,2021
Andhra Pradesh,870,853,956
Arunachal Pradesh,60,45,49
Assam,1235,1131,1192
Bihar,3138,3150,2799
Chhattisgarh,913,972,1007
Goa,33,34,26
Gujarat,993,982,1010
Haryana,1137,1143,1112
Himachal Pradesh,70,91,86
Jharkhand,1626,1592,1573
Karnataka,1314,1331,1357
Kerala,323,306,337
Madhya Pradesh,1795,2101,2034
Maharashtra,2142,2163,2330
Manipur,56,46,46
Meghalaya,68,79,80
Mizoram,22,28,24
Nagaland,25,25,27
Odisha,1356,1470,1394
Punjab,679,757,723
Rajasthan,1659,1719,1786
Sikkim,17,11,14
Tamil Nadu,1745,1661,1686
Telangana,839,802,1026
Tripura,144,114,122
Uttar Pradesh,3806,3779,3717
Uttarakhand,199,160,208
West Bengal,1930,1948,1884
